agence;ville;prix;surface;url;description;images;coordonnees;disponibilite;publication
Vacherand;AS01004931;Lille;828;75;https://www.vacherand.fr/immobilier/location-appartement-lille/ref-AS01004931;Votre agence VACHERAND IMMOBILIER vous propose à la location un charmant appartement de type F3 de 74.52 m2 situé dans une résidence dans le...;[];;;
Vacherand;AP0100732305;Lille;820;65;https://www.vacherand.fr/immobilier/location-appartement-lille/ref-AP0100732305;Superbe appartement T3, résidence Lill'Even à l'angle de la rue du Faubourg d'Arras et de la rue Jordaens à LILLE. Belle disposition, comprenant...;[];;;
Citya;GES21100026-799;Lille; 685;44.09;https://www.citya.com//annonces/location/appartement/lille-59350/GES21100026-799;LILLE MOULINS  Dans une résidence récente situé entre les métros porte d'Arras et porte de Douai, découvrez ce très bel [...]                             appartement de type 2 de 44.09 m2 situé au 1er étage qui se compose d'une entrée avec un grand placard, un grand salon / séjour très lumineux ouvert sur une cuisine équipée. L'appartement dispose d'une grande chambre et d'une salle de bains. Appartement loué non meublé. Envie d'en savoir plus sur cet appartement à louer ? Prenez contact avec votre agence Citya Descampiaux Gambetta.  Le bien est soumis au statut de la copropriété.    Loyer de 685,00 euros par mois charges comprises dont 55,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 701,00 euros.   Les honoraires charge locataire sont de 573,17 euros ( soit 13,00 euros/m² ) dont 132,27 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  DPE ANCIENNE VERSION. Montant estimé des dépenses annuelles d'énergie pour un usage standard : 589 euros. Prix moyens des énergies indexés en 2015. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 630 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 665,759 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES03880019-799;Lille; 700;45.38;https://www.citya.com//annonces/location/appartement/lille-59350/GES03880019-799;EXCLUSIVITÉ - APPARTEMENT 2 PIÈCES NEUF  En location : découvrez cet appartement 2 pièces de 45,38 m² à LILLE (59000). Situé au sein [...]                             d'une résidence neuve et sécurisée avec ascenseur, il se compose d'une entrée, d'un salon séjour avec cuisine ouverte de 23 m² donnant accès à un balcon avec vue dégagée, une chambre séparée, une salle de bains. Loué avec un emplacement de stationnement en sous-sol. Emplacement idéal, à proximité des axes routiers, des commerces et centres commerciaux et toutes commodités. Votre agence immobilière Citya Descampiaux Gambetta vous invite à découvrir cet appartement à louer en prenant RDV avec l'un de nos conseillers immobilier.  Le bien est soumis au statut de la copropriété.    Loyer de 700,00 euros par mois charges comprises dont 50,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 716,00 euros.   Les honoraires charge locataire sont de 589,94 euros ( soit 13,00 euros/m² ) dont 136,14 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 365 et 494 euros. Prix moyens des énergies indexés en 2021. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 650 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 726,08 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES02130011-799;Lille; 665;40.12;https://www.citya.com//annonces/location/appartement/lille-59350/GES02130011-799;LILLE GAMBETTA En location : à côté du métro Gambetta (ligne M1), découvrez cet appartement de 2 pièces de 40,12 m². Situé [...]                             au rez de chaussé d'une résidence récente et sécurisée, l'appartement dispose d'un espace cuisine aménagée ouvert sur le séjour donnant accès sur un balcon, une chambre ainsi qu'une salle de bains. Cet appartement est équipé d'un chauffage individuel fonctionnant au gaz. Il est mis en location avec une place de parking. Envie d'en savoir plus sur cet appartement à louer ? Prenez contact avec votre agence immobilière Citya Descampiaux Gambetta.  Le bien est soumis au statut de la copropriété.    Loyer de 665,00 euros par mois charges comprises dont 65,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 681,00 euros.   Les honoraires charge locataire sont de 521,56 euros ( soit 13,00 euros/m² ) dont 120,36 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  DPE ANCIENNE VERSION. Montant estimé des dépenses annuelles d'énergie pour un usage standard : 758 euros. Prix moyens des énergies indexés en 2015. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 600 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 605,812 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;LAPP5105219;Lille; 702;45.89;https://www.citya.com//annonces/location/appartement/lille-59350/LAPP5105219;À louer : Citya Descampiaux Lambersart vous présente cet appartement de 2 pièces de 45,89 m² à Lille (59160). Cet appartement [...]                             inclut une chambre, une cuisine et une salle de bains. Le chauffage de la résidence est collectif alimenté au gaz. Tout est prévu pour votre véhicule : parmi les emplacements disponibles dans l'immeuble, un garage est réservé pour cet appartement. On trouve cinq établissements scolaires à moins de 10 minutes à pied. Niveau transports, il y a les lignes de bus CO3 et 76 ainsi que la ligne de métro M2 (Mitterie) dans un rayon de 1 km. Les autoroutes A25, A1 et A22 et les nationales N41, N356 et N227 sont accessibles à moins de 10 km. On trouve des restaurants, des commerces, des boulangeries, trois supermarchés, quatre boucheries et une poissonnerie dans les environs. Contactez notre agence immobilière Citya Descampiaux Lambersart pour plus de renseignements sur cet appartement en location à Lille.  Le bien est soumis au statut de la copropriété.    Loyer de 702,00 euros par mois charges comprises dont 80,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Les honoraires charge locataire sont de 596,57 euros ( soit 13,00 euros/m² ) dont 137,67 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 580 et 850 euros. Prix moyens des énergies indexés en 2021. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr ;[];;;
Citya;GES30660003-799;Lille; 850;57.35;https://www.citya.com//annonces/location/appartement/lille-59350/GES30660003-799;EXCLUSIVITÉ - LILLE WAZEMMES À louer : Citya Descampiaux Gambetta vous présente ce bel appartement 2 pièces de 57,35 m² à [...]                             LILLE (59000). Situé au 1er étage d'une petite copropriété, il se compose d'une entrée, d'un vaste séjour lumineux de 28 m² avec briques apparentes et cuisine ouverte, d'une salle de bains avec baignoire et une chambre séparée. Un garage complète ce bien. A proximité des commerces, des transports en commun, axes routiers et toutes commodités. Votre agence immobilière Citya Descampiaux Gambetta vous invite à découvrir cet appartement en location en prenant RDV avec l'un de nos conseillers immobilier.  Le bien est soumis au statut de la copropriété.    Loyer de 850,00 euros par mois charges comprises dont 50,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 866,00 euros.   Les honoraires charge locataire sont de 745,55 euros ( soit 13,00 euros/m² ) dont 172,05 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 770 et 1 090 euros. Prix moyens des énergies indexés en 2021. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 800 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 923,335 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES44870217-799;Lille; 755;60.4;https://www.citya.com//annonces/location/appartement/lille-59350/GES44870217-799;LILLE MOULINS À louer : a proximité du métro Porte de Douai (ligne rouge), découvrez cet appartement de 3 pièces de [...]                             60,4 m². Situé au 2e étage de le résidence, il est agencé comme suit : un séjour spacieux de 20 m², une cuisine séparée et aménagée, deux chambres et une salle de bains. Cet appartement possède un chauffage individuel électrique. Une cave vient également agrémenter les 3 pièces de cet appartement. Pour votre véhicule, il est loué avec une place de parking. N'hésitez pas à contacter votre agence Citya Descampiaux Gambetta pour obtenir de plus amples renseignements sur cet appartement en location à LILLE.  Le bien est soumis au statut de la copropriété.    Loyer de 755,00 euros par mois charges comprises dont 80,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 18.00 euros ) : 773,00 euros.   Les honoraires charge locataire sont de 785,20 euros ( soit 13,00 euros/m² ) dont 181,20 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  DPE ANCIENNE VERSION. Montant estimé des dépenses annuelles d'énergie pour un usage standard : 979 euros. Prix moyens des énergies indexés en 2015. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 675 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 724,8 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES03830075-799;Lille; 735;49.78;https://www.citya.com//annonces/location/appartement/lille-59350/GES03830075-799;Lille Wazemmes venez découvrir cet appartement T2 de 49,78 m² : Il est situé dans un immeuble avec ascenseur à [...]                             50 mètres du métro Wazemmes.  Le vaste séjour parqueté offre une belle luminosité et une vue dégagée à l'arrière de l'immeuble depuis le balcon. La cuisine est ouverte sur le séjour et entièrement équipée avec un grand plan de travail permettant la prise des repas. En retrait vous trouverez la chambre et la salle de bains, ainsi qu'un petit placard de rangement. Vous aurez également une place de parking en sous-sol pour votre voiture. Chauffage et eau chaude individuels électrique, non inclus dans les charges. Au cœur de Wazemmes, le métro vous permettra de rayonner partout sur Lille très rapidement. Quant aux axes routiers (A25/A1), ils sont accessibles en 2mn au bout de la rue. Envie d'en savoir plus sur cet appartement à louer ? Prenez contact avec votre agence Citya Descampiaux Gambetta.  Le bien est soumis au statut de la copropriété.    Loyer de 735,00 euros par mois charges comprises dont 75,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 751,00 euros.   Les honoraires charge locataire sont de 650,00 euros ( soit 13,06 euros/m² ) dont 149,34 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 510 et 740 euros. Prix moyens des énergies indexés en 2021. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 660 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 681,986 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES02130016-799;Lille; 820;58.44;https://www.citya.com//annonces/location/appartement/lille-59350/GES02130016-799;LILLE WAZEMMES, venez découvrir cet appartement T3 de 58,44 m². Il se situe dans une résidence sécurisée avec ascenseur à proximité [...]                             de la rue Léon Gambetta, de ses commerces et du marché couvert. Sans oublier la station de métro Gambetta à 3mn à pied. Cet appartement entièrement carrelé se compose de deux chambres, un grand séjour, une cuisine aménagée séparée, et une salle de bains. Chauffage et eau chaude individuel au gaz, donc non inclus dans les charges et devant faire l'objet d'un abonnement personnel. Un balcon offre à ce bien de l'espace supplémentaire bienvenu et vous bénéficierez également d'une place de parking pour votre véhicule.  Le bien est soumis au statut de la copropriété.    Loyer de 820,00 euros par mois charges comprises dont 100,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 18.00 euros ) : 838,00 euros.   Les honoraires charge locataire sont de 759,72 euros ( soit 13,00 euros/m² ) dont 175,32 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 570 et 850 euros. Prix moyens des énergies indexés en 2021. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 720 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 777,252 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES46220032-800;Lille; 810;47.36;https://www.citya.com//annonces/location/appartement/lille-59350/GES46220032-800;Un appartement de type 2 formant le lot n°10 au reglement de  copropriété comprenant :  une entree avec placard, un [...]                             sejour avec terrasse, une cuisin e americaine, une chambre avec placard, une salle de bains a vec baignoire, un WC      Loyer de 810,00 euros par mois charges comprises dont 70,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 826,00 euros.   Les honoraires charge locataire sont de 615,68 euros ( soit 13,00 euros/m² ) dont 142,08 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  DPE ANCIENNE VERSION. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 740 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 729,344 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES34061176-800;La Madeleine; 830;55.27;https://www.citya.com//annonces/location/appartement/la-madeleine-59110/GES34061176-800;QUARTIER SAINT MAUR - TYPE 2 EN COURS DE RENOVATION  En location : à deux pas de la station de tramway [...]                             Saint Maur, Citya Descampiaux Centre vous propose cet appartement en cours de rénovation de 2 pièces de 55,27 m² à LA MADELEINE (59110). Il se compose d'une entrée avec placard, un double séjour, une cuisine séparée équipée (plaque de cuisson, four et hotte aspirante), une chambre, une salle de douche, un wc séparé et un cellier.   Une cave vient également agrémenter les 2 pièces de cet appartement.  Il est mis en location avec un garage.  Système de chauffage et production d'eau chaude individuel électrique (neuf)  Disponibilité du logement au 1er septembre 2023.  Côté transports en commun, on trouve cinq lignes de bus ainsi que la ligne de tramway TRAM (Saint Maur) dans les environs. Des autoroutes et les nationales N356, N227 et N41 sont accessibles à moins de 9 km. Pour vos loisirs, vous pourrez compter sur une bibliothèque et un conservatoire dans les environs. Il y a aussi des restaurants, des commerces, des boulangeries, des supermarchés, des boucheries et deux bureaux de poste. Enfin, le marché Place des Déportés a lieu toutes les semaines.  Découvrez toutes les originalités de cet appartement à louer en prenant rendez-vous avec notre agence immobilière Citya Descampiaux Centre.  Le bien est soumis au statut de la copropriété.    Loyer de 830,00 euros par mois charges comprises dont 50,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 846,00 euros.   Les honoraires charge locataire sont de 718,51 euros ( soit 13,00 euros/m² ) dont 165,81 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 970 et 1 360 euros. Prix moyens des énergies indexés en 2021. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES38340037-799;Lille; 732;48.92;https://www.citya.com//annonces/location/appartement/lille-59350/GES38340037-799;Lille Moulins, Rue de Douai. Nous vous proposons en location ce grand type 2 (48m²) au dernier étage d'une résidence [...]                             sécurisée située à proximité de petits commerces et du métro porte de Douai. L'appartement est en duplex et propose un beau séjour lumineux avec balcon, une cuisine aménagée séparée, ainsi qu'une chambre et une salle de bains à l'étage. Vous pourrez également garer votre véhicule dans le garage réservé à au logement. Chauffage et eau chaude individuel électrique (non inclus dans les charges). Pièces parquetées, fenêtres double vitrage, placards de rangement.  Le bien est soumis au statut de la copropriété.    Loyer de 732,00 euros par mois charges comprises dont 75,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 748,00 euros.   Les honoraires charge locataire sont de 635,96 euros ( soit 13,00 euros/m² ) dont 146,76 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 910 et 1 280 euros. Prix moyens des énergies indexés en 2021. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES00310021-801;Lille; 830;60.62;https://www.citya.com//annonces/location/appartement/lille-59350/GES00310021-801;EXCLUSIVITÉ APPARTEMENT 3 PIECES LILLE MITTERIE En location : à LILLE (59000), découvrez cet appartement de 3 pièces de 60,62 m². [...]                              Il propose deux chambres, une cuisine aménagée et une salle de bains. Le chauffage de la résidence est collectif alimenté au gaz. Cet appartement est situé dans un immeuble avec ascenseur. Il y a des écoles (de la maternelle au lycée) à moins de 10 minutes à pied. Niveau transports en commun, on trouve deux lignes de bus (CO3 et 915) ainsi que la ligne de métro M2 (Mitterie) juste à côté. Les autoroutes A25, A1 et A22 et les nationales N41, N356 et N227 sont accessibles à moins de 10 km. Il y a des restaurants, des commerces, des boulangeries, trois supermarchés, deux poissonneries et des épiceries à proximité. Votre agence immobilière Citya Descampiaux Lambersart vous invite à découvrir toutes les originalités de cet appartement à louer en prenant RDV avec l'un de nos négociateurs immobilier.  Le bien est soumis au statut de la copropriété.    Loyer de 830,00 euros par mois charges comprises dont 110,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 18.00 euros ) : 848,00 euros.   Les honoraires charge locataire sont de 788,06 euros ( soit 13,00 euros/m² ) dont 181,86 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  DPE ANCIENNE VERSION. Logement à consommation énergétique excessive. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES49350001-797;Lille; 714;45.42;https://www.citya.com//annonces/location/appartement/lille-59350/GES49350001-797;EXCLUSIVITÉ Lille Vauban Découvrez cet appartement de 2 pièces de 45,42 m². Cet appartement est composé d'un séjour, d'une chambre, d'une cuisine [...]                             indépendante et d'une salle de bains.  Le bien se situe à proximité de l'Université Catholique de Lille. Côté transports, on retrouve des bus ainsi que les stations de métro Port De Lille (ligne M2), Cormontaigne (ligne M2) et Gambetta (ligne M1). Votre agence immobilière Citya Descampiaux Vauban vous invite à découvrir cet appartement en location en prenant rendez-vous avec l'un de nos négociateurs immobilier.  Le bien est soumis au statut de la copropriété.    Loyer de 714,00 euros par mois charges comprises dont 80,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 730,00 euros.   Les honoraires charge locataire sont de 590,46 euros ( soit 13,00 euros/m² ) dont 136,26 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 490 et 710 euros. Prix moyens des énergies indexés en 2021. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 634 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 731,262 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES02240123-801;Lille; 815,50;59.86;https://www.citya.com//annonces/location/appartement/lille-59350/GES02240123-801;LILLE MARX DORMOY  Dans une résidence avec parc arborée et concierge, appartement T3 de 59,86m² comprenant : une grande pièce à [...]                             vivre traversante avec cuisine équipée, un cellier, deux chambres, une salle de bains. Le chauffage, l'eau chaude et l'eau froide sont compris dans les charges. L'appartement dispose d'une cave. Stationnement libre dans la Résidence Niveau transports en commun, la station de métro Bois-Blancs est à quelques minutes à pied. Prenez contact avec votre agence Citya Descampiaux Lambersart pour une première visite de cet appartement à louer.  Le bien est soumis au statut de la copropriété.    Loyer de 815,50 euros par mois charges comprises dont 150,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 18.00 euros ) : 833,50 euros.   Les honoraires charge locataire sont de 778,18 euros ( soit 13,00 euros/m² ) dont 179,58 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 935 et 1 265 euros. Prix moyens des énergies indexés en 2021. Zone soumise à encadrement des loyers. Le loyer de base du bien proposé est de 665,5 euros, le loyer de référence majoré (fixé par arrêté préfectoral) est de 718,32 eurosLes informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
Citya;GES95320007-803;Lille; 555;47.33;https://www.citya.com//annonces/location/appartement/lille-59350/GES95320007-803;En location : Citya Descampiaux Armentières vous présente cet appartement de 2 pièces de 47,33 m² à LILLE (59000). Il [...]                             inclut  un séjour avec cuisine ouverte aménagée, une chambre, une salle d'eau avec douche, un wc. Cet appartement possède un chauffage individuel fonctionnant à l'électricité (non inclus dans les charges). A 5 minutes du métro Porte des Postes Prenez contact avec votre agence Citya Descampiaux Armentières pour une première visite de cet appartement à louer.   Loyer de 555,00 euros par mois charges comprises dont 30,00 euros par mois de provision pour charges (soumis à la régularisation annuelle).   Soit avec Assurance Habitation et Assistance* ( 16.00 euros ) : 571,00 euros.   Les honoraires charge locataire sont de 615,29 euros ( soit 13,00 euros/m² ) dont 141,99 euros pour état des lieux ( soit 3,00 euros/m² ).   Vous pouvez consulter les barèmes d'honoraires à l'adresse suivante :   https://www.citya.com/agences-immobilieres/lille-59350/178#bareme-location  Montant estimé des dépenses annuelles d'énergie pour un usage standard : entre 850 et 1 190 euros. Prix moyens des énergies indexés en 2021. Les informations sur les risques auxquels ce bien est exposé sont disponibles sur le site Géorisques : https://www.georisques.gouv.fr.  *Service facultatif. Contribution annuelle attentats non comprise. Voir conditions en agence.   ;[];;;
